species;site;pH;Tank;chla;chlc;chltot;chltotsymbiont;symbiont
Porites sp.;Bourake;Control;B;4.7437895;10.87949239;15.62328189;20.79312873;751367.5353
Porites sp.;Bourake;Control;C;1.35965606;3.146974257;4.506630316;9.823940075;458739.5975
Porites sp.;Bourake;Control;C;1.799617264;4.044084386;5.84370165;11.68108046;500270.6445
Acropora tenuis;Reference;Variable;A;13.19644971;30.44150489;43.63795459;17.22909091;2532806.567
Acropora tenuis;Reference;Variable;C;7.593202109;17.4948661;25.08806821;16.75759279;1497116.473
Acropora tenuis;Reference;Variable;C;9.240572464;21.2677765;30.50834896;16.32126538;1869239.195
Acropora tenuis;Reference;Variable;A;4.595054751;10.63827547;15.23333023;10.01514504;1521029.418
Acropora tenuis;Reference;Variable;C;6.015982197;13.67687689;19.69285909;9.311796696;2114829.15
Acropora tenuis;Reference;Variable;B;16.64118527;38.80833988;55.44952515;14.60028992;3797837.266
Acropora tenuis;Reference;Variable;C;6.735819011;15.50938221;22.24520122;19.96097791;1114434.439
Acropora tenuis;Bourake;Variable;A;4.130592968;9.603369953;13.73396292;13.47234098;1019419.189
Acropora tenuis;Bourake;Variable;C;3.960462566;9.22326056;13.18372313;14.07726984;936525.5674
Acropora tenuis;Bourake;Variable;B;3.586392133;8.3496236;11.93601573;16.0871606;741959.1331
Acropora tenuis;Bourake;Variable;A;5.029938199;11.7142151;16.7441533;11.67552621;1434124.081
Acropora tenuis;Bourake;Variable;C;6.367278994;14.82116828;21.18844728;10.83130526;1956222.889
Acropora tenuis;Bourake;Variable;B;3.694158391;8.604844428;12.29900282;11.43978908;1075107.481
Acropora tenuis;Bourake;Variable;C;6.933667144;16.16526505;23.09893219;16.30763086;1416449.292
Montipora digitata;Reference;Variable;A;10.8784772;25.26957607;36.14805327;14.79922231;2442564.38
Montipora digitata;Reference;Variable;B;5.756344467;13.38587795;19.14222241;15.70866362;1218577.396
Montipora digitata;Reference;Variable;B;5.967512322;13.49923281;19.46674514;15.76447532;1234848.908
Montipora digitata;Reference;Variable;C;11.28873275;26.77010137;38.05883411;14.020406;2714531.527
Montipora digitata;Reference;Variable;A;4.241799924;9.397992547;13.63979247;9.624741463;1417159.362
Montipora digitata;Reference;Variable;B;8.571470633;19.61664841;28.18811905;15.39489447;1831004.369
Montipora digitata;Reference;Variable;C;14.55875992;33.72360316;48.28236308;22.329359;2162281.644
Montipora digitata;Bourake;Variable;B;13.73721539;32.01308201;45.7502974;24.55680989;1863039.116
Montipora digitata;Bourake;Variable;A;5.528956533;12.86091822;18.38987475;17.51509041;1049944.609
Montipora digitata;Bourake;Variable;A;4.915066661;11.41869857;16.33376523;15.07765161;1083309.633
Montipora digitata;Bourake;Variable;C;8.457925544;19.80439555;28.2623211;15.86086792;1781889.946
Montipora digitata;Bourake;Variable;C;14.5541145;33.80056614;48.35468063;16.53241635;2924840.485
Montipora digitata;Bourake;Variable;C;19.05799897;44.33642602;63.39442498;25.85499234;2451922.018
Montipora digitata;Bourake;Variable;B;12.62485811;29.3895886;42.01444671;26.73089304;1571756.194
